SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,37413,OPTIDX,0,BANKNIFTY-Jun2024-41300-CE,15,BANKNIFTY 19 JUN 41300 CALL,19-06-2024 14:30,41300,CE,5,W,OP,,
NSE,D,37414,OPTIDX,0,BANKNIFTY-Jun2024-41300-PE,15,BANKNIFTY 19 JUN 41300 PUT,19-06-2024 14:30,41300,PE,5,W,OP,,
NSE,D,37415,OPTIDX,0,BANKNIFTY-Jun2024-41400-CE,15,BANKNIFTY 19 JUN 41400 CALL,19-06-2024 14:30,41400,CE,5,W,OP,,
NSE,D,37416,OPTIDX,0,BANKNIFTY-Jun2024-41400-PE,15,BANKNIFTY 19 JUN 41400 PUT,19-06-2024 14:30,41400,PE,5,W,OP,,
NSE,D,37417,OPTIDX,0,BANKNIFTY-Jun2024-41600-CE,15,BANKNIFTY 19 JUN 41600 CALL,19-06-2024 14:30,41600,CE,5,W,OP,,
NSE,D,37418,OPTIDX,0,BANKNIFTY-Jun2024-41600-PE,15,BANKNIFTY 19 JUN 41600 PUT,19-06-2024 14:30,41600,PE,5,W,OP,,
NSE,D,37419,OPTIDX,0,BANKNIFTY-Jun2024-55400-CE,15,BANKNIFTY 19 JUN 55400 CALL,19-06-2024 14:30,55400,CE,5,W,OP,,
NSE,D,37420,OPTIDX,0,BANKNIFTY-Jun2024-55400-PE,15,BANKNIFTY 19 JUN 55400 PUT,19-06-2024 14:30,55400,PE,5,W,OP,,
NSE,D,37421,OPTIDX,0,BANKNIFTY-Jun2024-55600-CE,15,BANKNIFTY 19 JUN 55600 CALL,19-06-2024 14:30,55600,CE,5,W,OP,,
NSE,D,37422,OPTIDX,0,BANKNIFTY-Jun2024-55600-PE,15,BANKNIFTY 19 JUN 55600 PUT,19-06-2024 14:30,55600,PE,5,W,OP,,
NSE,D,37423,OPTIDX,0,BANKNIFTY-Jun2024-55700-CE,15,BANKNIFTY 19 JUN 55700 CALL,19-06-2024 14:30,55700,CE,5,W,OP,,
NSE,D,37424,OPTIDX,0,BANKNIFTY-Jun2024-58800-PE,15,BANKNIFTY 19 JUN 58800 PUT,19-06-2024 14:30,58800,PE,5,W,OP,,
